0.0994331,97.6672,39,52.6383;
0.121839,82.4846,45,48.1224;
0.150789,81.2634,51,47.9193;
0.161916,53.7638,54,34.0404;
0.165306,52.2427,55,35.4478;
0.172548,48.3119,57,34.8546;
0.260572,42.5412,76,34.5449;
0.270276,42.1245,79,34.5262;
1.84279,41.2403,245,33.9037;
2.64391,40.6801,309,33.7897;

0.67508,43.6816,103,34.813;

36.7577,44.9708,1942,35.3234;
40.8009,44.9593,2089,35.3117;
41.7773,44.9351,2123,35.3004;
42.4966,44.6185,2152,34.9444;
42.6442,44.5666,2158,34.928;


2.43065,43.8083,260,38.2163;
2.53972,43.7876,270,38.2115;
3.01523,43.6127,312,32.3928;
4.7015,43.4501,424,37.074;
8.01982,43.2774,619,37.275;
8.78971,42.8799,669,36.7095;

0.0620442,114.622,29,47.9686;
0.0814123,108.903,34,49.0575;
0.0860464,56.5434,36,42.2923;
0.088033,55.774,37,41.5425;
0.206575,54.417,67,39.9989;
0.431563,51.0118,109,37.8604;
0.585852,47.1587,136,37.731;
0.895838,43.9804,175,35.8058;
1.54522,43.8103,245,35.8143;
2.3408,43.4084,318,37.066;
11.6044,43.2273,888,34.9349;
19.3422,42.9255,1257,36.2358;
33.8595,42.3268,1874,36.1388;

0.00108082,4063.87,5,39.744;
0.001417,4063.82,6,39.6361;
0.0426638,2062.16,24,38.1321;
0.0605519,56.3242,28,35.5947;
0.510233,47.4912,110,37.2389;
1.00114,46.7749,173,36.682;
1.16887,44.7041,191,36.4155;
1.44477,41.6696,220,34.7695;

2.39811,39.3758,276,34.705;

1.15707,47.9563,200,36.4857;
1.2227,47.2181,209,35.8091;
1.43277,45.4448,231,35.7331;
2.04995,45.1958,296,36.2383;
2.0662,43.5809,297,34.4505;
3.09387,43.5727,393,34.4436;
4.21896,43.5076,483,34.3755;

0.104114,62.6286,46,40.5233;
0.193113,58.6251,67,43.4897;
0.207506,58.4254,71,43.3351;
0.33797,45.2102,93,35.4471;
4.34282,44.7106,454,35.5118;
7.16787,44.6771,613,35.0953;
19.6047,43.7594,1217,38.0216;
42.9549,43.4984,2130,38.7692;

0.530757,46.8517,117,35.9417;
0.540535,46.8431,119,35.9591;
0.589044,46.6797,129,35.9005;
1.38089,44.3608,215,35.7846;
6.9551,43.6749,642,34.835;
13.2661,43.6648,1046,33.7099;
13.894,43.6161,1081,33.6568;
20.7897,43.5019,1417,33.8193;

0.00111504,2055.42,5,42.815;
0.00844515,2051.44,12,41.288;
0.0468491,59.3131,27,46.2537;
0.0634516,59.1486,35,46.6054;
0.351153,54.8275,90,44.1435;
0.61953,50.6608,128,42.0578;
0.686655,48.0701,135,35.8301;
0.714264,47.2679,138,35.5413;
0.848299,46.8369,153,35.534;
6.07901,46.6866,567,35.2917;
7.9079,46.5138,681,35.246;
8.3904,45.4149,710,38.1698;
17.4434,45.3343,1169,38.5114;
20.7369,44.5837,1307,37.3827;

0.0223571,120.202,20,47.8026;
0.0353044,119.831,25,47.4778;
0.0986528,113.46,44,49.1658;
0.131293,112.697,51,48.963;
0.141098,96.1424,56,49.9989;
0.150064,52.5793,58,40.6036;
0.204315,52.5716,75,40.5879;
0.32317,51.7123,97,38.8687;
0.946085,50.7626,181,37.0577;
2.09936,45.0927,300,35.3912;
2.12894,44.9695,303,35.264;
6.38401,43.2044,637,35.6774;
6.87063,43.2006,672,35.6671;
7.60097,43.1978,720,35.6213;

0.057121,56.4393,25,39.8785;
0.129792,46.4818,41,37.0863;
0.143324,43.7733,44,37.7185;
0.269937,43.5255,62,37.7078;

0.032221,40.4223,21,34.1966;
0.0500956,40.3982,30,34.2013;
0.132544,40.3901,52,34.1975;
9.07749,40.314,854,34.6872;


0.00215864,8145.31,6,47.8934;
0.00755311,8145.28,10,47.9054;
0.0134558,8144.2,17,47.1919;
0.0605735,8127,40,52.655;
0.0788318,6125.96,48,58.1875;
0.11546,2060.2,61,41.5612;
0.227952,55.819,92,42.241;
0.466258,55.6827,127,42.4854;
0.649094,55.5804,151,39.9811;
0.894751,50.4395,179,37.6675;
0.969447,48.8871,187,37.6971;
1.33555,46.9328,224,35.7416;
2.22564,43.7876,307,35.6283;
24.3763,43.7521,1480,35.9192;
47.5033,41.9051,2342,37.8694;

0.00954304,2062.99,12,37.0242;
0.0101744,2062.51,13,36.5815;
0.0211165,64.5689,20,43.9598;
0.0618859,49.9728,37,35.5621;
0.120731,49.5153,53,36.4344;
0.130922,49.3045,56,36.1989;
0.166479,49.2165,65,36.5136;
0.21013,49.2136,76,36.5341;
0.221516,43.4854,79,35.1106;
0.919659,42.9729,174,35.0064;

0.103346,112.548,42,63.3342;
0.126156,110.21,49,60.9967;
0.219674,69.3273,71,43.4117;
0.314862,43.9312,89,35.067;
0.66789,42.9558,140,34.3613;
0.750938,40.6148,150,32.9025;
3.83336,39.1898,427,32.5312;

0.0239132,2066.07,19,48.1055;
0.048965,2048.77,31,39.4516;
0.050075,2048.35,32,38.9852;
0.0705418,70.7211,38,43.2414;
0.0959117,64.4053,47,50.1073;
0.0985884,64.3993,48,50.089;
0.138261,60.2737,62,48.2169;
0.27322,52.867,94,40.4904;
0.694547,51.5482,164,39.5088;
0.818296,47.9393,182,35.6349;
2.75923,43.5134,365,36.4303;
3.22651,43.2718,394,36.1226;
4.45533,39.6517,481,33.6073;


0.0932995,106.891,40,54.2045;
0.110821,106.865,44,54.1616;
0.119264,106.221,47,52.2321;
0.215086,76.4471,69,39.4773;
0.324201,72.7832,87,44.4604;
0.355926,72.7812,92,44.401;
0.385443,66.1754,96,42.8619;
0.465608,60.2431,106,38.6561;
0.486769,59.9005,109,38.4159;
0.50323,59.7752,112,38.2997;
0.886126,59.7127,161,38.2411;
0.936015,44.2268,165,33.286;
1.04245,44.0742,177,33.1236;
2.0192,41.7046,283,31.8641;
3.62201,41.6687,420,31.8919;
4.47314,41.6308,482,31.8524;


0.0170244,48.8458,14,33.8787;
0.252748,41.6815,69,34.474;
4.64301,41.6786,473,34.6555;
5.00516,41.6677,502,34.6525;
5.09577,41.6608,510,34.6346;
5.89828,41.6295,565,34.554;
28.5747,41.6274,1776,34.554;
29.4059,41.6235,1816,34.5483;

1.94908,46.4145,228,36.0085;
1.95244,46.3998,229,36.2227;
2.02368,46.2748,237,35.8659;
2.23868,45.9076,264,35.4155;
2.43883,45.8505,281,35.6889;
14.3513,44.1909,981,37.4913;
16.1162,40.1709,1060,35.938;

0.0248841,14081.7,16,43.6425;
0.0255034,14081,17,42.914;
0.0690266,2127.83,38,56.1681;
0.151363,84.9541,56,48.2763;
0.380319,46.9538,91,36.7138;
